pID,Do you agree in participate?,What is your age group?,Gender:,Professional experience as a software developer :,What is your main area of expertise?,Which programming languages do you regularly use?,Have you ever heard of runtime verification tools or specification languages?,1.1_intuitive,1.2_faster,1.3_detailed,1.4_simpler,2.1_intuitive,2.2_faster,2.3_detailed,2.4_simpler,3.1_intuitive,3.2_faster,3.3_detailed,3.4_simpler,4.1_intuitive,4.2_faster,4.3_detailed,4.4_simpler,5.1_intuitive,5.2_faster,5.3_detailed,5.4_simpler,6.1_intuitive,6.2_faster,6.3_detailed,6.4_simpler,7.1_intuitive,7.2_faster,7.3_detailed,7.4_simpler,8.1_intuitive,8.2_faster,8.3_detailed,8.4_simpler,9.1_intuitive,9.2_faster,9.3_detailed,9.4_simpler,10.1_intuitive,10.2_faster,10.3_detailed,10.4_simpler,11.1_intuitive,11.2_faster,11.3_detailed,11.4_simpler
P1,#NUM!,25–34,Male,7 - 10 years,"DevOps/Cloud Computing, Back-end development",Java,"I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL
P2,#NUM!,35–44,Male,Less than 1 year,"Web Development, Mobile Development","Python, JavaScript/TypeScript, Dart",No,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP
P3,#NUM!,45–54,Male,More than 10 years,Web Development,Java,Yes,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P4,#NUM!,35–44,Male,More than 10 years,Web Development,"Java, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P5,#NUM!,45–54,Male,More than 10 years,Web Development,"Java, JavaScript/TypeScript",Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P6,#NUM!,55–64,Female,1 - 3 years,Web Development,"JavaScript/TypeScript, PHP","I've heard about it, but I've never used it.",MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL
P7,#NUM!,35–44,Female,7 - 10 years,"Web Development, Data Science/Analytics",Java,No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P8,#NUM!,35–44,Male,7 - 10 years,"Web Development, DevOps/Cloud Computing","Java, Python",No,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P9,#NUM!,25–34,Female,7 - 10 years,Data Science/Analytics,"Java, SQL","I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P10,#NUM!,35–44,Male,More than 10 years,Web Development,JavaScript/TypeScript,No,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
