pID,Do you agree in participate?,What is your age group?,Gender:,Professional experience as a software developer :,What is your main area of expertise?,Which programming languages do you regularly use?,Have you ever heard of runtime verification tools or specification languages?,1.2_faster,2.2_faster,3.2_faster,4.2_faster,5.2_faster,6.2_faster,7.2_faster,8.2_faster,9.2_faster,10.2_faster,11.2_faster
P1,#NUM!,25–34,Male,7 - 10 years,"DevOps/Cloud Computing, Back-end development",Java,"I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL
P2,#NUM!,35–44,Male,Less than 1 year,"Web Development, Mobile Development","Python, JavaScript/TypeScript, Dart",No,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP
P3,#NUM!,45–54,Male,More than 10 years,Web Development,Java,Yes,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL
P4,#NUM!,35–44,Male,More than 10 years,Web Development,"Java, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P5,#NUM!,45–54,Male,More than 10 years,Web Development,"Java, JavaScript/TypeScript",Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P6,#NUM!,55–64,Female,1 - 3 years,Web Development,"JavaScript/TypeScript, PHP","I've heard about it, but I've never used it.",MSL,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL
P7,#NUM!,35–44,Female,7 - 10 years,"Web Development, Data Science/Analytics",Java,No,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL
P8,#NUM!,35–44,Male,7 - 10 years,"Web Development, DevOps/Cloud Computing","Java, Python",No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P9,#NUM!,25–34,Female,7 - 10 years,Data Science/Analytics,"Java, SQL","I've heard about it, but I've never used it.",MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL
P10,#NUM!,35–44,Male,More than 10 years,Web Development,JavaScript/TypeScript,No,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL
P11,#NUM!,35–44,Male,More than 10 years,Web Development,"Java, JavaScript/TypeScript, Kotlin, Go",No,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL
P12,#NUM!,35–44,Male,More than 10 years,"Web Development, Mobile Development","Java, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL
P13,#NUM!,35–44,Male,More than 10 years,"Web Development, Embedded Systems, DevOps/Cloud Computing","Java, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL,JavaMOP,JavaMOP
P14,#NUM!,25–34,Male,7 - 10 years,Web Development,"Java, JavaScript/TypeScript",No,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL
P15,#NUM!,18–24,Female,1 - 3 years,Web Development,"Python, C#",Yes,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,JavaMOP,MSL,MSL
P16,#NUM!,25–34,Male,4 - 6 years,Web Development,Java,No,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL
P17,#NUM!,35–44,Male,7 - 10 years,"Web Development, Machine Learning/AI",Java,Yes,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,JavaMOP,MSL
P18,#NUM!,25–34,Male,7 - 10 years,Data Science/Analytics,"Python, PHP","I've heard about it, but I've never used it.",JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL
P19,#NUM!,45–54,Male,More than 10 years,Web Development,"JavaScript/TypeScript, C#",Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P20,#NUM!,25–34,Male,7 - 10 years,"Web Development, Mobile Development","Java, Kotlin",No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P21,#NUM!,35–44,Male,More than 10 years,"Web Development, Mobile Development, Embedded Systems, DevOps/Cloud Computing","Java, Python, JavaScript/TypeScript, C/C++, C#, PHP",Yes,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP
P22,#NUM!,35–44,Male,More than 10 years,"Web Development, Mobile Development, Embedded Systems, DevOps/Cloud Computing","Java, Python, JavaScript/TypeScript, C#, Kotlin, Swift, Go","I've heard about it, but I've never used it.",JavaMOP,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P23,Yes,35–44,Male,Less than 1 year,"Web Development, Cybersecurity","Python, PHP",Yes,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL
