file,method,line,n1,n1_operators,n2,n2_operands,N1,N1_operators,N2,N2_operands
Collections_CopySizeHandler.java,vioCollections_CopySize,22,13,"['(', ')', ',', '.', ';', '<', '[', ']', 'boolean', 'if', 'void', '{', '}']",13,"['Collections_CopySize', 'LoggerSpecification', 'Object', 'SpecificationType', 'String', 'args', 'dest', 'isStatic', 'name', 'origen', 'printLogging', 'size', 'vioCollections_CopySize']",27,"['void', '(', ',', 'boolean', ',', '[', ']', ')', '{', 'if', '(', '.', '(', ')', '<', '.', '(', ')', ')', '{', '.', '(', '.', ')', ';', '}', '}']",14,"['vioCollections_CopySize', 'String', 'name', 'isStatic', 'Object', 'args', 'dest', 'size', 'origen', 'size', 'LoggerSpecification', 'printLogging', 'SpecificationType', 'Collections_CopySize']"
DatagramPacket_SetLengthHandler.java,vioDatagramPacket_SetLength,23,8,"['(', ')', ',', ';', 'int', 'void', '{', '}']",5,"['DatagramPacket', 'EventDatagramPacket_SetLength', 'datagramPacket', 'length', 'vioDatagramPacket_SetLength']",11,"['void', '(', ',', 'int', ')', '{', '(', ',', ')', ';', '}']",7,"['vioDatagramPacket_SetLength', 'DatagramPacket', 'datagramPacket', 'length', 'EventDatagramPacket_SetLength', 'datagramPacket', 'length']"
DatagramPacket_SetLengthHandler.java,EventDatagramPacket_SetLength,26,17,"['(', ')', '+', ',', '.', ';', '=', '>', '[', ']', 'byte', 'if', 'int', 'public', 'void', '{', '}']",14,"['DatagramPacket', 'DatagramPacket_SetLength', 'EventDatagramPacket_SetLength', 'LoggerSpecification', 'SpecificationType', 'String', 'buffer', 'datagramPacket', 'getData', 'getOffset', 'length', 'offset', 'printLogging', 'valueOf']",48,"['public', 'void', '(', ',', 'int', ')', '{', 'int', '=', '.', '(', ')', ';', 'byte', '[', ']', '=', '.', '(', ')', ';', 'if', '(', '+', '>', '.', ')', '{', '.', '(', '.', ',', '.', '(', ')', ',', '.', '(', ')', ',', '.', '(', '.', ')', ')', ';', '}', '}']",28,"['EventDatagramPacket_SetLength', 'DatagramPacket', 'datagramPacket', 'length', 'offset', 'datagramPacket', 'getOffset', 'buffer', 'datagramPacket', 'getData', 'length', 'offset', 'buffer', 'length', 'LoggerSpecification', 'printLogging', 'SpecificationType', 'DatagramPacket_SetLength', 'String', 'valueOf', 'length', 'String', 'valueOf', 'offset', 'String', 'valueOf', 'buffer', 'length']"
InputStream_MarkResetHandler.java,vioInputStream_MarkReset,30,15,"['(', ')', ',', '.', ';', '=', '[', ']', 'boolean', 'if', 'instanceof', 'void', '{', '|', '}']",17,"['FileInputStream', 'InputStream', 'InputStream_MarkReset', 'LoggerSpecification', 'Object', 'ObjectInputStream', 'PipedInputStream', 'PushbackInputStream', 'SpecificationType', 'String', 'args', 'hasElements', 'inputStream', 'isStatic', 'name', 'printLogging', 'vioInputStream_MarkReset']",51,"['void', '(', ',', 'boolean', ',', '[', ']', ')', '{', 'if', '(', '(', ')', ')', '{', '=', '(', ')', '[', ']', ';', 'if', '(', '(', 'instanceof', ')', '|', '|', '(', 'instanceof', ')', '|', '|', '(', 'instanceof', ')', '|', '|', '(', 'instanceof', ')', ')', '{', '.', '(', '.', ')', ';', '}', '}', '}']",24,"['vioInputStream_MarkReset', 'String', 'name', 'isStatic', 'Object', 'args', 'hasElements', 'args', 'InputStream', 'inputStream', 'InputStream', 'args', 'inputStream', 'FileInputStream', 'inputStream', 'PushbackInputStream', 'inputStream', 'ObjectInputStream', 'inputStream', 'PipedInputStream', 'LoggerSpecification', 'printLogging', 'SpecificationType', 'InputStream_MarkReset']"
InputStream_MarkResetHandler.java,hasElements,43,20,"['!', '(', ')', '+', '.', ';', '<', '=', '[', ']', 'boolean', 'false', 'for', 'if', 'int', 'null', 'return', 'true', '{', '}']",5,"['Object', 'args', 'hasElements', 'i', 'length']",34,"['boolean', '(', '[', ']', ')', '{', 'for', '(', 'int', '=', ';', '<', '.', ';', '+', '+', ')', '{', 'if', '(', '[', ']', '!', '=', 'null', ')', 'return', 'true', ';', '}', 'return', 'false', ';', '}']",10,"['hasElements', 'Object', 'args', 'i', 'i', 'args', 'length', 'i', 'args', 'i']"
Iterator_RemoveOnceHandler.java,vioIterator_RemoveOnce,20,9,"['(', ')', ',', ';', '[', ']', 'void', '{', '}']",6,"['Iterator', 'String', 'eventIterator_RemoveOnce', 'history', 'i', 'vioIterator_RemoveOnce']",11,"['void', '(', ',', '[', ']', ')', '{', '(', ')', ';', '}']",7,"['vioIterator_RemoveOnce', 'Iterator', 'i', 'String', 'history', 'eventIterator_RemoveOnce', 'history']"
Iterator_RemoveOnceHandler.java,eventIterator_RemoveOnce,24,16,"['!', '&', '(', ')', ',', '.', ';', '=', '[', ']', 'if', 'new', 'public', 'void', '{', '}']",10,"['Iterator_RemoveOnce', 'LoggerSpecification', 'SpecificationType', 'String', 'eventIterator_RemoveOnce', 'filter', 'history', 'interesting', 'printLogging', 'validate']",35,"['public', 'void', '(', '[', ']', ')', '{', '[', ']', '=', 'new', '[', ']', '{', '}', ';', 'if', '(', '(', ',', ')', '&', '&', '!', '(', ')', ')', '{', '.', '(', '.', ')', ';', '}', '}']",15,"['eventIterator_RemoveOnce', 'String', 'history', 'String', 'interesting', 'String', 'filter', 'history', 'interesting', 'validate', 'history', 'LoggerSpecification', 'printLogging', 'SpecificationType', 'Iterator_RemoveOnce']"
Iterator_RemoveOnceHandler.java,validate,31,23,"['!', '&', '(', ')', '+', ',', '.', ';', '<', '=', '[', ']', 'boolean', 'false', 'for', 'if', 'int', 'null', 'private', 'return', 'true', '{', '}']",7,"['String', 'equalshere', 'history', 'i', 'length', 'string', 'validate']",48,"['private', 'boolean', '(', '[', ']', ')', '{', 'for', '(', 'int', '=', ';', '<', '.', ';', '+', '+', ')', '{', '=', '[', ']', ';', 'if', '(', '[', ']', '!', '=', 'null', '&', '&', '(', '[', ']', ',', ')', ')', '{', 'return', 'true', ';', '}', '}', 'return', 'false', ';', '}']",17,"['validate', 'String', 'history', 'i', 'i', 'history', 'length', 'i', 'String', 'string', 'history', 'i', 'history', 'i', 'equalshere', 'history', 'i']"
Iterator_RemoveOnceHandler.java,filter,41,20,"['!', '&', '(', ')', ',', ':', ';', '=', '[', ']', 'boolean', 'else', 'false', 'for', 'if', 'private', 'return', 'true', '{', '}']",8,"['String', 'action', 'equalshere', 'filter', 'foundNext', 'foundRemove', 'history', 'interesting']",73,"['private', 'boolean', '(', '[', ']', ',', '[', ']', ')', '{', 'boolean', '=', 'false', ';', 'boolean', '=', 'false', ';', 'for', '(', ':', ')', '{', 'if', '(', '(', ',', ')', ')', '{', 'if', '(', ')', '{', 'return', 'true', ';', '}', '=', 'true', ';', '}', 'else', 'if', '(', '(', ',', ')', ')', '{', 'if', '(', '!', ')', '{', '=', 'true', ';', '}', 'else', '{', '=', 'false', ';', '}', '}', '}', 'return', '&', '&', '!', ';', '}']",21,"['filter', 'String', 'history', 'String', 'interesting', 'foundRemove', 'foundNext', 'String', 'action', 'history', 'equalshere', 'action', 'foundRemove', 'foundRemove', 'equalshere', 'action', 'foundRemove', 'foundNext', 'foundNext', 'foundRemove', 'foundNext']"
Iterator_RemoveOnceHandler.java,equalshere,65,24,"['!', '(', ')', '+', ',', '.', ';', '<', '=', '[', ']', 'boolean', 'char', 'false', 'for', 'if', 'int', 'null', 'private', 'return', 'true', '{', '|', '}']",10,"['String', 'equalshere', 'i', 'length', 'n', 'str1', 'str2', 'toCharArray', 'v1', 'v2']",87,"['private', 'boolean', '(', ',', ')', '{', 'if', '(', '=', '=', 'null', '|', '|', '=', '=', 'null', ')', '{', 'return', 'false', ';', '}', 'int', '=', '.', '(', ')', ';', 'if', '(', '!', '=', '.', '(', ')', ')', '{', 'return', 'false', ';', '}', 'char', '[', ']', '=', '.', '(', ')', ';', 'char', '[', ']', '=', '.', '(', ')', ';', 'for', '(', 'int', '=', ';', '<', ';', '+', '+', ')', '{', 'if', '(', '[', ']', '!', '=', '[', ']', ')', '{', 'return', 'false', ';', '}', '}', 'return', 'true', ';', '}']",27,"['equalshere', 'String', 'str1', 'String', 'str2', 'str1', 'str2', 'n', 'str1', 'length', 'n', 'str2', 'length', 'v1', 'str1', 'toCharArray', 'v2', 'str2', 'toCharArray', 'i', 'i', 'n', 'i', 'v1', 'i', 'v2', 'i']"
