pID,Do you agree in participate?,What is your age group?,Gender:,Professional experience as a software developer :,What is your main area of expertise?,Which programming languages do you regularly use?,Have you ever heard of runtime verification tools or specification languages?,1.4_simpler,2.4_simpler,3.4_simpler,4.4_simpler,5.4_simpler,6.4_simpler,7.4_simpler,8.4_simpler,9.4_simpler,10.4_simpler,11.4_simpler
P1,#NUM!,25–34,Male,7 - 10 years,"DevOps/Cloud Computing, Back-end development",Java,"I've heard about it, but I've never used it.",MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL
P2,#NUM!,35–44,Male,Less than 1 year,"Web Development, Mobile Development","Python, JavaScript/TypeScript, Dart",No,MSL,MSL,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL,MSL,JavaMOP
P3,#NUM!,45–54,Male,More than 10 years,Web Development,Java,Yes,MSL,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL
P4,#NUM!,35–44,Male,More than 10 years,Web Development,"Java, JavaScript/TypeScript","I've heard about it, but I've never used it.",MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P5,#NUM!,45–54,Male,More than 10 years,Web Development,"Java, JavaScript/TypeScript",Yes,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P6,#NUM!,55–64,Female,1 - 3 years,Web Development,"JavaScript/TypeScript, PHP","I've heard about it, but I've never used it.",JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,JavaMOP,MSL,JavaMOP,JavaMOP,MSL
P7,#NUM!,35–44,Female,7 - 10 years,"Web Development, Data Science/Analytics",Java,No,MSL,MSL,MSL,MSL,JavaMOP,MSL,MSL,MSL,MSL,MSL,MSL
P8,#NUM!,35–44,Male,7 - 10 years,"Web Development, DevOps/Cloud Computing","Java, Python",No,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL,MSL
P9,#NUM!,25–34,Female,7 - 10 years,Data Science/Analytics,"Java, SQL","I've heard about it, but I've never used it.",MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL
P10,#NUM!,35–44,Male,More than 10 years,Web Development,JavaScript/TypeScript,No,MSL,MSL,MSL,JavaMOP,MSL,JavaMOP,MSL,MSL,JavaMOP,MSL,MSL
