n1,n2,N1,N2,Vocabulary,Length,Volume,Difficulty,Effort,file,method,line,methodLOC
14,16,50,29,30,79,387.64435705307295,12.6875,4918.237780110863,Collections_CopySize.mop,Collections_CopySize,19,9
21,19,71,37,40,108,574.7682342478352,20.447368421052634,11752.497842383367,DatagramPacket_SetLength.mop,DatagramPacket_SetLength,21,14
14,18,70,28,32,98,490.0,10.88888888888889,5335.555555555556,InputStream_MarkReset.mop,InputStream_MarkReset,22,16
15,16,64,35,31,99,490.46543472830064,16.40625,8046.698538511182,Iterator_RemoveOnce.mop,Iterator_RemoveOnce,18,16
24,27,226,108,51,334,1894.5900642184795,48.0,90940.32308248701,Long_BadDecodeArg.mop,Long_BadDecodeArg,17,51
16,18,104,47,34,151,768.2068890288012,20.88888888888889,16046.988348601626,Object_MonitorOwner.mop,Object_MonitorOwner,20,16
15,19,88,41,34,129,656.2827065212938,16.18421052631579,10621.41748712094,OutputStream_ManipulateAfterClose.mop,OutputStream_ManipulateAfterClose,20,19
18,22,118,53,40,171,910.049704225739,21.681818181818183,19731.53222343989,PriorityQueue_NonComparable.mop,PriorityQueue_NonComparable,20,24
16,25,59,34,41,93,498.2523364294818,10.88,5420.985420352762,Runnable_OverrideRun.mop,Runnable_OverrideRun,17,16
22,19,110,40,41,150,803.6328006927125,23.157894736842103,18610.443805515446,ServerSocket_Backlog.mop,ServerSocket_Backlog,17,24
16,14,53,27,30,80,392.5512476486815,15.428571428571429,6056.504963722515,URLEncoder_EncodeUTF8.mop,URLEncoder_EncodeUTF8,16,11
