file,method,line,n1,n1_operators,n2,n2_operands,N1,N1_operators,N2,N2_operands
Collections_CopySize.mop,Collections_CopySize,19,14,"['&', '(', ')', ',', '.', ':', ';', '<', 'call', 'condition', 'event', 'void', '{', '}']",16,"['CRITICAL', 'Collections', 'Collections_CopySize', 'Level', 'List', 'RVMLogging', '__DEFAULT_MESSAGE', 'args', 'bad_copy', 'before', 'copy', 'dest', 'out', 'println', 'size', 'src']",50,"['(', ')', '{', 'event', '(', ',', ')', ':', 'call', '(', 'void', '.', '(', ',', ')', ')', '&', '&', '(', ',', ')', '&', '&', 'condition', '(', '.', '(', ')', '<', '.', '(', ')', ')', '{', '.', '.', '(', '.', ',', ')', ';', '.', '.', '(', '.', ',', ')', ';', '}', '}']",29,"['Collections_CopySize', 'bad_copy', 'before', 'List', 'dest', 'List', 'src', 'Collections', 'copy', 'List', 'List', 'args', 'dest', 'src', 'dest', 'size', 'src', 'size', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', '__DEFAULT_MESSAGE', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL']"
DatagramPacket_SetLength.mop,DatagramPacket_SetLength,21,21,"['&', '(', ')', '+', ',', '.', ':', ';', '<', '=', '[', ']', 'byte', 'call', 'event', 'if', 'int', 'return', 'void', '{', '}']",19,"['CRITICAL', 'DatagramPacket', 'DatagramPacket_SetLength', 'Level', 'RVMLogging', '__DEFAULT_MESSAGE', 'args', 'before', 'buffer', 'getData', 'getOffset', 'length', 'offset', 'out', 'packet', 'println', 'setLength', 'setlength', 'target']",71,"['(', ')', '{', 'event', '(', ',', 'int', ')', ':', 'call', '(', 'void', '.', '(', 'int', ')', ')', '&', '&', '(', ')', '&', '&', '(', ')', '{', 'int', '=', '.', '(', ')', ';', 'byte', '[', ']', '=', '.', '(', ')', ';', 'if', '(', '+', '<', '=', '.', ')', 'return', ';', '.', '.', '(', '.', ',', ')', ';', '.', '.', '(', '.', ',', '+', '+', '+', '+', '+', '.', ')', ';', '}', '}']",37,"['DatagramPacket_SetLength', 'setlength', 'before', 'DatagramPacket', 'packet', 'length', 'DatagramPacket', 'setLength', 'target', 'packet', 'args', 'length', 'offset', 'packet', 'getOffset', 'buffer', 'packet', 'getData', 'length', 'offset', 'buffer', 'length', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', '__DEFAULT_MESSAGE', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', 'offset', 'length', 'buffer', 'length']"
InputStream_MarkReset.mop,InputStream_MarkReset,22,14,"['&', '(', ')', '*', '+', ',', '.', ':', ';', 'call', 'event', '{', '|', '}']",18,"['CRITICAL', 'FileInputStream', 'InputStream', 'InputStream_MarkReset', 'Level', 'ObjectInputStream', 'PipedInputStream', 'PushbackInputStream', 'RVMLogging', 'SequenceInputStream', '__DEFAULT_MESSAGE', 'before', 'mark', 'mark_or_reset', 'out', 'println', 'reset', 'target']",70,"['(', ')', '{', 'event', '(', ')', ':', '(', 'call', '(', '*', '+', '.', '(', '.', '.', ')', ')', '|', '|', 'call', '(', '*', '+', '.', '(', '.', '.', ')', ')', ')', '&', '&', '(', '(', ')', '|', '|', '(', ')', '|', '|', '(', ')', '|', '|', '(', ')', '|', '|', '(', ')', ')', '{', '.', '.', '(', '.', ',', ')', ';', '.', '.', '(', '.', ',', ')', ';', '}', '}']",28,"['InputStream_MarkReset', 'mark_or_reset', 'before', 'InputStream', 'mark', 'InputStream', 'reset', 'target', 'FileInputStream', 'target', 'PushbackInputStream', 'target', 'ObjectInputStream', 'target', 'PipedInputStream', 'target', 'SequenceInputStream', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', '__DEFAULT_MESSAGE', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL']"
Iterator_RemoveOnce.mop,Iterator_RemoveOnce,18,15,"['&', '(', ')', '*', '+', ',', '.', ':', ';', 'call', 'event', 'void', '{', '|', '}']",16,"['CRITICAL', 'Iterator', 'Iterator_RemoveOnce', 'Level', 'RVMLogging', '__DEFAULT_MESSAGE', 'before', 'epsilon', 'ere', 'fail', 'i', 'next', 'out', 'println', 'remove', 'target']",64,"['(', ')', '{', 'event', '(', ')', ':', 'call', '(', 'void', '+', '.', '(', ')', ')', '&', '&', '(', ')', '{', '}', 'event', '(', ')', ':', 'call', '(', '*', '+', '.', '(', ')', ')', '&', '&', '(', ')', '{', '}', ':', '(', '+', '(', '|', ')', ')', '*', '{', '.', '.', '(', '.', ',', ')', ';', '.', '.', '(', '.', ',', ')', ';', '}', '}']",35,"['Iterator_RemoveOnce', 'Iterator', 'i', 'remove', 'before', 'Iterator', 'i', 'Iterator', 'remove', 'target', 'i', 'next', 'before', 'Iterator', 'i', 'Iterator', 'next', 'target', 'i', 'ere', 'next', 'remove', 'epsilon', 'fail', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', '__DEFAULT_MESSAGE', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL']"
Long_BadDecodeArg.mop,Long_BadDecodeArg,17,24,"['&', '(', ')', '*', '+', ',', '-', '.', ':', ';', '<', '=', 'call', 'catch', 'else', 'event', 'for', 'if', 'int', 'null', 'try', '{', '|', '}']",27,"['CRITICAL', 'Character', 'Exception', 'Level', 'Long', 'Long_BadDecodeArg', 'RVMLogging', 'String', '__DEFAULT_MESSAGE', 'args', 'before', 'charAt', 'decode', 'e', 'isWhitespace', 'j', 'l', 'length', 'nm', 'out', 'parseLong', 'println', 'radix', 'startsWith', 'sub', 'substring', 'target']",226,"['(', ')', '{', 'event', '(', ',', ')', ':', 'call', '(', '*', '.', '(', ')', ')', '&', '&', '(', ')', '&', '&', '(', ')', '{', 'if', '(', '=', '=', 'null', '|', '|', '.', '(', ')', '=', '=', ')', '{', '.', '.', '(', '.', ',', ')', ';', '.', '.', '(', '.', ',', ')', ';', '}', 'else', '{', 'for', '(', 'int', '=', ';', '<', '.', '(', ')', ';', '+', '+', ')', '{', 'if', '(', '.', '(', '.', '(', ')', ')', ')', '{', '.', '.', '(', '.', ',', ')', ';', '.', '.', '(', '.', ',', ')', ';', '}', '}', ';', 'if', '(', '.', '(', ')', '=', '=', '-', ')', '{', '=', '.', '(', ')', ';', '}', 'else', '{', '=', ';', '}', 'int', '=', ';', 'if', '(', '.', '(', ')', '|', '|', '.', '(', ')', ')', '{', '=', '.', '(', ')', ';', '=', ';', '}', 'else', 'if', '(', '.', '(', ')', ')', '{', '=', '.', '(', ')', ';', '=', ';', '}', 'else', 'if', '(', '.', '(', ')', ')', '{', '=', '.', '(', ')', ';', '=', ';', '}', 'else', '{', '=', ';', '}', 'try', '{', 'if', '(', '.', '(', ',', ')', '<', ')', '{', '.', '.', '(', '.', ',', ')', ';', '.', '.', '(', '.', ',', ')', ';', '}', '}', 'catch', '(', ')', '{', '.', '.', '(', '.', ',', ')', ';', '.', '.', '(', '.', ',', ')', ';', '}', '}', '}', '}']",108,"['Long_BadDecodeArg', 'decode', 'before', 'Long', 'l', 'String', 'nm', 'Long', 'decode', 'String', 'args', 'nm', 'target', 'l', 'nm', 'nm', 'length', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', '__DEFAULT_MESSAGE', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', 'j', 'j', 'nm', 'length', 'j', 'Character', 'isWhitespace', 'nm', 'charAt', 'j', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', '__DEFAULT_MESSAGE', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', 'String', 'sub', 'nm', 'charAt', 'sub', 'nm', 'substring', 'sub', 'nm', 'radix', 'sub', 'startsWith', 'sub', 'startsWith', 'sub', 'sub', 'substring', 'radix', 'sub', 'startsWith', 'sub', 'sub', 'substring', 'radix', 'sub', 'startsWith', 'sub', 'sub', 'substring', 'radix', 'radix', 'Long', 'parseLong', 'sub', 'radix', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', '__DEFAULT_MESSAGE', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', 'Exception', 'e', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', '__DEFAULT_MESSAGE', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL']"
Object_MonitorOwner.mop,Object_MonitorOwner,20,16,"['!', '&', '(', ')', '*', '+', ',', '.', ':', ';', 'call', 'event', 'if', '{', '|', '}']",18,"['CRITICAL', 'Level', 'Object', 'Object_MonitorOwner', 'RVMLogging', 'Thread', '__DEFAULT_MESSAGE', 'bad_notify', 'bad_wait', 'before', 'holdsLock', 'notify', 'notifyAll', 'o', 'out', 'println', 'target', 'wait']",104,"['(', ')', '{', 'event', '(', ')', ':', '(', 'call', '(', '*', '+', '.', '(', '.', '.', ')', ')', '|', '|', 'call', '(', '*', '+', '.', '(', '.', '.', ')', ')', ')', '&', '&', '(', ')', '&', '&', 'if', '(', '!', '.', '(', ')', ')', '{', '.', '.', '(', '.', ',', ')', ';', '.', '.', '(', '.', ',', ')', ';', '}', 'event', '(', ')', ':', 'call', '(', '*', '+', '.', '(', '.', '.', ')', ')', '&', '&', '(', ')', '&', '&', 'if', '(', '!', '.', '(', ')', ')', '{', '.', '.', '(', '.', ',', ')', ';', '.', '.', '(', '.', ',', ')', ';', '}', '}']",47,"['Object_MonitorOwner', 'bad_notify', 'before', 'Object', 'o', 'Object', 'notify', 'Object', 'notifyAll', 'target', 'o', 'Thread', 'holdsLock', 'o', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', '__DEFAULT_MESSAGE', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', 'bad_wait', 'before', 'Object', 'o', 'Object', 'wait', 'target', 'o', 'Thread', 'holdsLock', 'o', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', '__DEFAULT_MESSAGE', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL']"
OutputStream_ManipulateAfterClose.mop,OutputStream_ManipulateAfterClose,20,15,"['!', '&', '(', ')', '*', '+', ',', '.', ':', ';', 'call', 'event', '{', '|', '}']",19,"['ByteArrayOutputStream', 'CRITICAL', 'Level', 'OutputStream', 'OutputStream_ManipulateAfterClose', 'RVMLogging', '__DEFAULT_MESSAGE', 'before', 'close', 'creation', 'ere', 'flush', 'manipulate', 'match', 'o', 'out', 'println', 'target', 'write']",88,"['(', ')', '{', 'event', '(', ')', ':', '(', 'call', '(', '*', '+', '.', '*', '(', '.', '.', ')', ')', '|', '|', 'call', '(', '*', '+', '.', '(', '.', '.', ')', ')', ')', '&', '&', '(', ')', '&', '&', '!', '(', ')', '{', '}', 'event', '(', ')', ':', 'call', '(', '*', '+', '.', '(', '.', '.', ')', ')', '&', '&', '(', ')', '&', '&', '!', '(', ')', '{', '}', ':', '+', '+', '{', '.', '.', '(', '.', ',', ')', ';', '.', '.', '(', '.', ',', ')', ';', '}', '}']",41,"['OutputStream_ManipulateAfterClose', 'OutputStream', 'o', 'manipulate', 'before', 'OutputStream', 'o', 'OutputStream', 'write', 'OutputStream', 'flush', 'target', 'o', 'target', 'ByteArrayOutputStream', 'creation', 'close', 'before', 'OutputStream', 'o', 'OutputStream', 'close', 'target', 'o', 'target', 'ByteArrayOutputStream', 'ere', 'close', 'manipulate', 'match', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', '__DEFAULT_MESSAGE', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL']"
PriorityQueue_NonComparable.mop,PriorityQueue_NonComparable,20,18,"['!', '&', '(', ')', '*', '+', ',', '.', ':', ';', 'call', 'event', 'for', 'if', 'instanceof', '{', '|', '}']",22,"['CRITICAL', 'Collection', 'Comparable', 'Level', 'Object', 'PriorityQueue', 'PriorityQueue_NonComparable', 'Queue', 'RVMLogging', '__DEFAULT_MESSAGE', 'add', 'addAll', 'args', 'before', 'c', 'e', 'elem', 'insertnull', 'offer', 'out', 'println', 'target']",118,"['(', ')', '{', 'event', '(', ')', ':', '(', 'call', '(', '*', '+', '.', '*', '(', '.', '.', ')', ')', '|', '|', 'call', '(', '*', '+', '.', '*', '(', '.', '.', ')', ')', ')', '&', '&', '(', ')', '&', '&', '(', ')', '{', 'if', '(', '!', '(', 'instanceof', ')', ')', '{', '.', '.', '(', '.', ',', ')', ';', '.', '.', '(', '.', ',', ')', ';', '}', '}', 'event', '(', ')', ':', 'call', '(', '*', '+', '.', '(', ')', ')', '&', '&', '(', ')', '&', '&', '(', ')', '{', 'for', '(', ':', ')', '{', 'if', '(', '!', '(', 'instanceof', ')', ')', '{', '.', '.', '(', '.', ',', ')', ';', '.', '.', '(', '.', ',', ')', ';', '}', '}', '}', '}']",53,"['PriorityQueue_NonComparable', 'insertnull', 'before', 'Object', 'e', 'Collection', 'add', 'Queue', 'offer', 'target', 'PriorityQueue', 'args', 'e', 'e', 'Comparable', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', '__DEFAULT_MESSAGE', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', 'insertnull', 'before', 'Collection', 'c', 'Collection', 'addAll', 'Collection', 'target', 'PriorityQueue', 'args', 'c', 'Object', 'elem', 'c', 'elem', 'Comparable', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', '__DEFAULT_MESSAGE', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL']"
Runnable_OverrideRun.mop,Runnable_OverrideRun,17,16,"['!', '(', ')', '+', ',', '.', ':', ';', '=', 'catch', 'event', 'if', 'null', 'try', '{', '}']",25,"['CRITICAL', 'Class', 'Level', 'Method', 'NoSuchMethodException', 'RVMLogging', 'Runnable', 'Runnable_OverrideRun', 'Signature', '__DEFAULT_MESSAGE', '__STATICSIG', 'after', 'aspectj', 'e', 'getDeclaringType', 'getMethod', 'initsig', 'klass', 'lang', 'm', 'org', 'out', 'println', 'staticinit', 'staticinitialization']",59,"['(', ')', '{', 'event', '(', ')', ':', '(', '+', ')', '{', '.', '.', '.', '=', ';', '=', '.', '(', ')', ';', 'if', '(', '!', '=', 'null', ')', '{', ';', 'try', '{', '=', '.', '(', ')', ';', '}', 'catch', '(', ')', '{', '.', '.', '(', '.', ',', ')', ';', '.', '.', '(', '.', ',', ')', ';', '}', '}', '}', '}']",34,"['Runnable_OverrideRun', 'staticinit', 'after', 'staticinitialization', 'Runnable', 'org', 'aspectj', 'lang', 'Signature', 'initsig', '__STATICSIG', 'Class', 'klass', 'initsig', 'getDeclaringType', 'klass', 'Method', 'm', 'm', 'klass', 'getMethod', 'NoSuchMethodException', 'e', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', '__DEFAULT_MESSAGE', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL']"
ServerSocket_Backlog.mop,ServerSocket_Backlog,17,22,"['&', '(', ')', '*', '+', ',', '.', ':', ';', '>', 'call', 'event', 'if', 'int', 'new', 'private', 'return', 'this', 'void', '{', '|', '}']",19,"['CRITICAL', 'InetAddress', 'Level', 'RVMLogging', 'ServerSocket', 'ServerSocket_Backlog', 'SocketAddress', 'String', '__DEFAULT_MESSAGE', 'args', 'backlog', 'before', 'bind', 'check', 'construct', 'msg', 'out', 'println', 'set']",110,"['(', ')', '{', 'private', 'void', '(', 'int', ',', ')', '{', 'if', '(', '>', ')', 'return', ';', '.', '.', '(', '.', ',', ')', ';', '.', '.', '(', '.', ',', '+', '+', ')', ';', '}', 'event', '(', 'int', ')', ':', '(', 'call', '(', '.', 'new', '(', 'int', ',', 'int', ')', ')', '|', '|', 'call', '(', '.', 'new', '(', 'int', ',', 'int', ',', ')', ')', ')', '&', '&', '(', '*', ',', ',', '.', '.', ')', '{', 'this', '.', '(', ',', ')', ';', '}', 'event', '(', 'int', ')', ':', 'call', '(', '*', '+', '.', '(', ',', 'int', ')', ')', '&', '&', '(', '*', ',', ')', '{', 'this', '.', '(', ',', ')', ';', '}', '}']",40,"['ServerSocket_Backlog', 'check', 'backlog', 'String', 'msg', 'backlog', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', 'msg', 'RVMLogging', 'out', 'println', 'Level', 'CRITICAL', 'backlog', 'construct', 'before', 'backlog', 'ServerSocket', 'ServerSocket', 'InetAddress', 'args', 'backlog', 'check', 'backlog', '__DEFAULT_MESSAGE', 'set', 'before', 'backlog', 'ServerSocket', 'bind', 'SocketAddress', 'args', 'backlog', 'check', 'backlog', '__DEFAULT_MESSAGE']"
