n1,n2,N1,N2,Vocabulary,Length,Volume,Difficulty,Effort,file,method,line,methodLOC
13,13,27,14,26,41,192.7180284437848,7.0,1349.0261991064936,Collections_CopySizeHandler.java,vioCollections_CopySize,22,6
8,5,11,7,13,18,66.60791492653966,5.6,373.00432358862207,DatagramPacket_SetLengthHandler.java,vioDatagramPacket_SetLength,23,3
17,14,48,28,31,76,376.5189195894025,17.0,6400.821633019843,DatagramPacket_SetLengthHandler.java,EventDatagramPacket_SetLength,26,8
15,17,51,24,32,75,375.0,10.588235294117649,3970.588235294118,InputStream_MarkResetHandler.java,vioInputStream_MarkReset,30,12
20,5,34,10,25,44,204.32967235008786,20.0,4086.5934470017573,InputStream_MarkResetHandler.java,hasElements,43,7
9,6,11,7,15,18,70.32403072095333,5.25,369.201161285005,Iterator_RemoveOnceHandler.java,vioIterator_RemoveOnce,20,4
16,10,35,15,26,50,235.02198590705464,12.0,2820.263830884656,Iterator_RemoveOnceHandler.java,eventIterator_RemoveOnce,24,7
23,7,48,17,30,65,318.9478887145537,27.928571428571427,8907.758891956464,Iterator_RemoveOnceHandler.java,validate,31,9
20,8,73,21,28,94,451.89136267341473,26.25,11862.148270177137,Iterator_RemoveOnceHandler.java,filter,41,22
24,10,87,27,34,114,579.9707639025387,32.400000000000006,18791.052750442257,Iterator_RemoveOnceHandler.java,equalshere,65,17
10,7,13,8,17,21,85.83671966625712,5.7142857142857135,490.49554095004066,Long_BadDecodeArgHandler.java,vioLong_BadDecodeArg,18,4
23,22,174,71,45,245,1345.5040086007702,37.11363636363636,49936.54650102404,Long_BadDecodeArgHandler.java,Long_BadDecodeArgEvent,22,45
14,10,28,15,24,43,197.1533875310097,10.5,2070.110569075602,Object_MonitorOwnerHandler.java,vioObject_MonitorOwnerWait,8,6
14,10,28,15,24,43,197.1533875310097,10.5,2070.110569075602,Object_MonitorOwnerHandler.java,vioObject_MonitorOwnerNotify,17,6
8,5,10,5,13,15,55.506595772116384,4.0,222.02638308846554,Object_MonitorOwnerHandler.java,eventObject_MonitorOwnerWait,24,3
8,5,10,5,13,15,55.506595772116384,4.0,222.02638308846554,Object_MonitorOwnerHandler.java,eventObject_MonitorOwnerNotify,28,3
12,7,20,9,19,29,123.18989788986397,7.714285714285715,950.3220694360937,OutputStream_ManipulateAfterCloseHandler.java,vioOutputStream_ManipulateAfterClose,25,6
14,9,31,13,23,44,199.03672606650858,10.11111111111111,2012.4824524502533,OutputStream_ManipulateAfterCloseHandler.java,outputStream_ManipulateAfterCloseEvent,31,8
21,10,77,28,31,105,520.1906125906219,29.4,15293.604010164283,OutputStream_ManipulateAfterCloseHandler.java,filter,40,17
11,8,17,11,19,28,118.94197037642039,7.5625,899.4986509716791,PriorityQueue_NonComparableHandler.java,vioPriorityQueue_NonComparableAdd,23,4
6,4,8,5,10,13,43.18506523353571,3.75,161.9439946257589,PriorityQueue_NonComparableHandler.java,vioPriorityQueue_NonComparableaddAll,29,3
11,8,20,9,19,29,123.18989788986397,6.1875,762.2374931935333,PriorityQueue_NonComparableHandler.java,eventPriorityQueue_NonComparableAdd,33,5
15,10,28,13,25,41,190.3981037807637,9.75,1856.3815118624461,PriorityQueue_NonComparableHandler.java,eventPriorityQueue_NonComparableAddAll,39,7
8,9,19,11,17,30,122.62388523751017,4.888888888888889,599.4945500500497,Runnable_OverrideRunHandler.java,vioRunnable_OverrideRun,17,4
21,12,61,18,33,79,398.5071354293178,15.75,6276.487383011756,Runnable_OverrideRunHandler.java,getMethodRunnable_OverrideRun,21,13
17,11,39,14,28,53,254.78981086905299,10.818181818181818,2756.362499401573,Runnable_OverrideRunHandler.java,Runnable_OverrideRunEvent,35,9
10,7,13,8,17,21,85.83671966625712,5.7142857142857135,490.49554095004066,ServerSocket_BacklogHandler.java,vioServerSocket_BacklogBind,19,3
10,7,13,8,17,21,85.83671966625712,5.7142857142857135,490.49554095004066,ServerSocket_BacklogHandler.java,vioServerSocket_BacklogNew,23,3
14,6,21,7,20,28,121.01398665684616,8.166666666666668,988.2808910309104,ServerSocket_BacklogHandler.java,eventServerSocket_Backlog,27,5
10,7,13,8,17,21,85.83671966625712,5.7142857142857135,490.49554095004066,URLEncoder_EncodeUTF8Handler.java,vioEncoder_encodeUTF8,18,5
10,8,25,11,18,36,150.11730005192322,6.875,1032.0564378569723,URLEncoder_EncodeUTF8Handler.java,urlEncoder_EncodeUTF8,23,7
